timestamp,device_id,temperature,humidity,pressure,light,sound,motion,battery,location
2025-04-26T16:45:19.584078,Device_47,24.93,50.15,1013.35,501,52,0,99.96,Room A
2025-04-26T16:45:19.594221,Device_41,24.95,49.28,1013.28,493,53,0,99.91,Room A
2025-04-26T16:45:19.604456,Device_19,25.05,49.19,1012.95,497,55,0,99.88,Room B
2025-04-26T16:45:19.614651,Device_50,24.94,49.34,1013.09,503,52,0,99.85,Outside
2025-04-26T16:45:19.624832,Device_18,24.77,49.34,1012.89,507,54,0,99.84,Room C
2025-04-26T16:45:19.635009,Device_18,24.77,48.58,1012.91,511,56,0,99.8,Room A
2025-04-26T16:45:19.645180,Device_50,24.67,47.61,1012.46,509,56,0,99.79,Room B
2025-04-26T16:45:19.655327,Device_19,24.55,46.83,1012.51,514,59,0,99.75,Room C
2025-04-26T16:45:19.665613,Device_33,24.58,46.18,1012.29,523,59,0,99.7,Room A
2025-04-26T16:45:19.675796,Device_1,24.42,47.11,1012.03,523,59,0,99.68,Outside
2025-04-26T16:45:19.685950,Device_11,24.51,46.99,1012.28,523,54,0,99.64,Room B
2025-04-26T16:45:19.696129,Device_10,24.41,46.32,1012.19,515,58,0,99.62,Outside
2025-04-26T16:45:19.706264,Device_19,24.41,45.93,1012.15,517,62,0,99.57,Room C
2025-04-26T16:45:19.716434,Device_38,24.23,46.43,1012.44,514,65,0,99.56,Room C
2025-04-26T16:45:19.726618,Device_9,24.25,46.78,1012.89,524,64,0,99.52,Room C
2025-04-26T16:45:19.736807,Device_39,24.08,46.02,1012.79,531,62,0,99.48,Room A
2025-04-26T16:45:19.746992,Device_9,24.16,46.48,1012.74,532,59,0,99.43,Outside
2025-04-26T16:45:19.757540,Device_14,24.05,46.93,1012.35,536,62,0,99.4,Room B
2025-04-26T16:45:19.767708,Device_33,24.15,47.47,1012.75,529,67,0,99.36,Outside
2025-04-26T16:45:19.777877,Device_17,24.19,48.08,1012.53,526,63,0,99.34,Room C
2025-04-26T16:45:19.788028,Device_26,24.32,47.85,1012.1,534,58,0,99.32,Outside
2025-04-26T16:45:19.798160,Device_26,24.4,47.3,1012.22,528,63,0,99.28,Room B
2025-04-26T16:45:19.808332,Device_5,24.42,46.41,1012.61,532,64,0,99.24,Room C
2025-04-26T16:45:19.818504,Device_31,24.37,45.84,1012.11,525,67,0,99.2,Room B
2025-04-26T16:45:19.828666,Device_29,24.23,46.51,1011.98,521,69,0,99.18,Outside
2025-04-26T16:45:19.838839,Device_13,24.1,46.2,1012.19,521,65,0,99.15,Outside
2025-04-26T16:45:19.848986,Device_33,23.94,46.15,1012.58,513,64,0,99.1,Room C
2025-04-26T16:45:19.860507,Device_29,23.91,46.29,1012.58,505,64,1,99.08,Room B
2025-04-26T16:45:19.870673,Device_30,24.05,47.26,1013.06,500,60,0,99.06,Room B
2025-04-26T16:45:19.881545,Device_50,23.85,46.89,1013.12,494,91,0,99.04,Room A
2025-04-26T16:45:19.891750,Device_13,23.78,47.67,1013.01,489,86,0,99.02,Room C
2025-04-26T16:45:19.901920,Device_33,23.89,47.73,1013.25,480,83,0,98.98,Room C
